Year,FirstBattingTeamName,SecondBattingTeamName,MatchName,MatchDateNew,Commentss,1Summary,2Summary
2022,Mumbai Indians,Chennai Super Kings,Mumbai Indians VS Chennai Super Kings,21-Apr-22,Chennai Super Kings Won by 3  Wickets ,155/7 (20.0 Overs),156/7 (20.0 Overs)
2022,Punjab Kings,Delhi Capitals,Delhi Capitals VS Punjab Kings,20-Apr-22,Delhi Capitals Won by 9  Wickets ,115/10 (20.0 Overs),119/1 (10.3 Overs)
2022,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants VS Royal Challengers Bangalore,19-Apr-22,Royal Challengers Bangalore Won by 18  Runs ,181/6 (20.0 Overs),163/8 (20.0 Overs)
2022,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals VS Kolkata Knight Riders,18-Apr-22,Rajasthan Royals Won by 7  Runs ,217/5 (20.0 Overs),210/10 (19.4 Overs)
2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans VS Chennai Super Kings,17-Apr-22,Gujarat Titans Won by 3 Wickets ,169/5 (20.0 Overs),170/7 (19.5 Overs)
2022,Punjab Kings,Sunrisers Hyderabad,Punjab Kings VS Sunrisers Hyderabad,17-Apr-22,Sunrisers Hyderabad Won by 7  Wickets ,151/10 (20.0 Overs),152/3 (18.5 Overs)
2022,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals VS Royal Challengers Bangalore,16-Apr-22,Royal Challengers Bangalore Won by 16 Runs ,189/5 (20.0 Overs),173/7 (20.0 Overs)
2022,Lucknow Super Giants,Mumbai Indians,Mumbai Indians VS Lucknow Super Giants,16-Apr-22,Lucknow Super Giants Won by 18 Runs ,199/4 (20.0 Overs),181/9 (20.0 Overs)
2022,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad VS Kolkata Knight Riders,15-Apr-22,Sunrisers Hyderabad Won by 7  Wickets ,175/8 (20.0 Overs),176/3 (17.5 Overs)
2022,Gujarat Titans,Rajasthan Royals,Rajasthan Royals VS Gujarat Titans,14-Apr-22,Gujarat Titans Won by 37  Runs ,192/4 (20.0 Overs),155/9 (20.0 Overs)
2022,Punjab Kings,Mumbai Indians,Mumbai Indians VS Punjab Kings,13-Apr-22,Punjab Kings Won by 12  Runs ,198/5 (20.0 Overs),186/9 (20.0 Overs)
2022,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings VS Royal Challengers Bangalore,12-Apr-22,Chennai Super Kings Won by 23  Runs ,216/4 (20.0 Overs),193/9 (20.0 Overs)
2022,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad VS Gujarat Titans,11-Apr-22,Sunrisers Hyderabad Won by 8  Wickets ,162/7 (20.0 Overs),168/2 (19.1 Overs)
2022,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals VS Lucknow Super Giants,10-Apr-22,Rajasthan Royals Won by 3  Runs ,165/6 (20.0 Overs),162/8 (20.0 Overs)
2022,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders VS Delhi Capitals,10-Apr-22,Delhi Capitals Won by 44  Runs ,215/5 (20.0 Overs),171/10 (19.4 Overs)
2022,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore VS Mumbai Indians,9-Apr-22,Royal Challengers Bangalore Won by 7  Wickets ,151/6 (20.0 Overs),152/3 (18.3 Overs)
2022,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings VS Sunrisers Hyderabad,9-Apr-22,Sunrisers Hyderabad Won by 8  Wickets ,154/7 (20.0 Overs),155/2 (17.4 Overs)
2022,Punjab Kings,Gujarat Titans,Punjab Kings VS Gujarat Titans,8-Apr-22,Gujarat Titans Won by 6 Wickets ,189/9 (20.0 Overs),190/4 (20.0 Overs)
2022,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants VS Delhi Capitals,7-Apr-22,Lucknow Super Giants Won by 6  Wickets ,149/3 (20.0 Overs),155/4 (19.4 Overs)
